Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
7157,TP53,tumor protein p53,Homo sapiens,human,NM_000546.6,NP_000537.3,,curated,RefseqSelect,default-seq
455214,TP53,tumor protein p53,Pan troglodytes,chimpanzee,XM_016931470.3,XP_016786959.2,,model,,default-seq
716170,TP53,tumor protein p53,Macaca mulatta,Rhesus monkey,NM_001047151.2,NP_001040616.1,,curated,,default-seq
100415710,TP53,tumor protein p53,Callithrix jacchus,white-tufted-ear marmoset,XM_002747948.5,XP_002747994.1,,model,,default-seq
100435218,TP53,tumor protein p53,Pongo abelii,Sumatran orangutan,XM_002826974.6,XP_002827020.3,,model,,default-seq
100583326,TP53,tumor protein p53,Nomascus leucogenys,northern white-cheeked gibbon,XM_030800485.1,XP_030656345.1,,model,,default-seq
100963622,TP53,tumor protein p53,Otolemur garnettii,small-eared galago,XM_012806041.2,XP_012661495.1,,model,,default-seq
100973941,TP53,tumor protein p53,Pan paniscus,pygmy chimpanzee,XM_057300362.2,XP_057156345.1,,model,,default-seq
101006608,TP53,tumor protein p53,Papio anubis,olive baboon,XM_003912272.5,XP_003912321.1,,model,,default-seq
101043647,TP53,tumor protein p53,Saimiri boliviensis,Bolivian squirrel monkey,XM_039476036.1,XP_039331970.1,,model,,default-seq
101133524,TP53,tumor protein p53,Gorilla gorilla gorilla,western lowland gorilla,XM_063700589.1,XP_063556659.1,,model,,default-seq
102135998,TP53,tumor protein p53,Macaca fascicularis,crab-eating macaque,XM_005582787.4,XP_005582844.1,,model,,default-seq
103242323,TP53,tumor protein p53,Chlorocebus sabaeus,green monkey,XM_008010192.2,XP_008008383.2,,model,,default-seq
103264637,TP53,tumor protein p53,Carlito syrichta,Philippine tarsier,XM_008062341.2,XP_008060532.1,,model,,default-seq
104661662,TP53,tumor protein p53,Rhinopithecus roxellana,golden snub-nosed monkey,XM_010362387.1,XP_010360689.1,,model,,default-seq
105473688,LOC105473688,tumor protein p53,Macaca nemestrina,pig-tailed macaque,XM_071082299.1,XP_070938400.1,,model,,default-seq
105523626,TP53,tumor protein p53,Colobus angolensis palliatus,,XM_011958558.1,XP_011813948.1,,model,,default-seq
105549866,TP53,tumor protein p53,Mandrillus leucophaeus,drill,XM_011994540.1,XP_011849930.1,,model,,default-seq
105582225,TP53,tumor protein p53,Cercocebus atys,sooty mangabey,XM_012052423.1,XP_011907813.1,,model,,default-seq
105720742,TP53,tumor protein p53,Aotus nancymaae,Ma's night monkey,XM_064378361.1,XP_064234431.1,,model,,default-seq
105819395,TP53,tumor protein p53,Propithecus coquereli,Coquerel's sifaka,XM_012655616.1,XP_012511070.1,,model,,default-seq
105877486,TP53,tumor protein p53,Microcebus murinus,gray mouse lemur,XM_012776058.2,XP_012631512.1,,model,,default-seq
108306559,TP53,tumor protein p53,Cebus imitator,Panamanian white-faced capuchin,XM_017531594.2,XP_017387083.1,,model,,default-seq
108514363,TP53,tumor protein p53,Rhinopithecus bieti,black snub-nosed monkey,XM_017850544.1,XP_017706033.1,,model,,default-seq
111527100,TP53,tumor protein p53,Piliocolobus tephrosceles,Ugandan red Colobus,XM_023193314.2,XP_023049082.1,,model,,default-seq
112610199,TP53,tumor protein p53,Theropithecus gelada,gelada,XM_025363515.1,XP_025219300.1,,model,,default-seq
116459052,TP53,tumor protein p53,Hylobates moloch,silvery gibbon,XM_032139337.3,XP_031995228.1,,model,,default-seq
116553190,TP53,tumor protein p53,Sapajus apella,tufted capuchin,XM_032280430.1,XP_032136321.1,,model,,default-seq
117067758,TP53,tumor protein p53,Trachypithecus francoisi,Francois's langur,XM_033184717.1,XP_033040608.1,,model,,default-seq
123650900,TP53,tumor protein p53,Lemur catta,Ring-tailed lemur,XM_045570131.1,XP_045426087.1,,model,,default-seq
126939707,TP53,tumor protein p53,Macaca thibetana thibetana,,XM_050765346.1,XP_050621303.1,,model,,default-seq
128570606,TP53,tumor protein p53,Nycticebus coucang,slow loris,XM_053569948.1,XP_053425923.1,,model,,default-seq
129017148,TP53,tumor protein p53,Pongo pygmaeus,Bornean orangutan,XM_054457336.2,XP_054313311.2,,model,,default-seq
129469721,TP53,tumor protein p53,Symphalangus syndactylus,siamang,XM_055256596.2,XP_055112571.1,,model,,default-seq
138391902,TP53,tumor protein p53,Eulemur rufifrons,Bennett's brown lemur,XM_069482023.1,XP_069338124.1,,model,,default-seq
