Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
5980,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Homo sapiens,human,NM_001372078.1,NP_001359007.1,,curated,RefseqSelect,default-seq
19714,Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit",Mus musculus,house mouse,NM_011264.3,NP_035394.2,13506650,curated,RefseqSelect,default-seq
309812,Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit",Rattus norvegicus,Norway rat,XM_006256524.2,XP_006256586.1,13506650,model,,default-seq
462942,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Pan troglodytes,chimpanzee,XM_016956167.2,XP_016811656.1,13506650,model,,default-seq
481963,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Canis lupus familiaris,dog,XM_014118216.3,XP_013973691.1,13506650,model,,default-seq
517422,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Bos taurus,cattle,XM_024996589.1,XP_024852357.1,13506650,model,,default-seq
695894,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Macaca mulatta,Rhesus monkey,XM_028847034.1,XP_028702867.1,13506650,model,,default-seq
100022401,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Monodelphis domestica,gray short-tailed opossum,XM_007484437.2,XP_007484499.1,,model,,default-seq
100072399,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Equus caballus,horse,XM_023650934.1,XP_023506702.1,13506650,model,,default-seq
100359215,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Oryctolagus cuniculus,rabbit,XM_008263376.2,XP_008261598.1,13506650,model,,default-seq
100390356,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Callithrix jacchus,white-tufted-ear marmoset,XM_035296530.1,XP_035152421.1,,model,,default-seq
100437885,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Pongo abelii,Sumatran orangutan,XM_024248979.1,XP_024104747.1,13506650,model,,default-seq
100466621,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Ailuropoda melanoleuca,giant panda,XM_034668992.1,XP_034524883.1,,model,,default-seq
100513963,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Sus scrofa,pig,XM_021091238.1,XP_020946897.1,13506650,model,,default-seq
100583655,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Nomascus leucogenys,northern white-cheeked gibbon,XM_030809566.1,XP_030665426.1,,model,,default-seq
100663094,REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit",Loxodonta africana,African savanna elephant,XM_010598962.2,XP_010597264.1,13506650,model,,default-seq
